"Genotype" "EnvRef" "INRcle2015Irr" "INRcle2013N+" "INRcle2013N-" "INRmon2012N+" "INRmon2012N-" "INRmon2013N+" "INRmon2013N-"
"192" "rustic" 69.1243687503591 86.4409928465323 87.9883054487125 87.4997982586637 69.9860836362055 67.1093804071853 82.8921995641018 71.3464184160215
"193" "aldric" 83.4126206109953 90.6909928465323 96.5303692058198 98.9105505023959 80.4381631684738 68.7007955750807 84.0299741023547 64.23455906448
"194" "armada" 84.2243687503591 101.840995544708 NA NA NA NA NA NA
"195" "gallixe" 85.0126206109953 93.8909928465323 NA NA NA NA NA NA
"196" "sorrial" 83.1126206109953 91.1909928465323 95.1952328166088 87.305608948737 71.1860836362055 60.5093804071853 77.9220876032447 56.3926082087765
"197" "musik" 83.9126206109953 69.6909928465323 88.7395569993868 84.5436714824215 77.5196658018244 62.7840069231984 79.1955241843022 62.9892977212902
"198" "rubisko" 87.9126206109953 83.9909928465323 98.4297572271039 98.368085345531 88.1696658018244 69.5886337166662 90.1427908581879 73.8279284078498
"204" "pakito" 79.4243687503591 86.6409941956202 102.977328221973 97.9257269578649 79.1860836362055 68.3093804071854 86.7868092632015 72.2231509882497
"203" "calumet" 74.2743687503591 95.890995544708 NA NA NA NA NA NA
"202" "premio" 69.0126206109953 93.3909928465323 97.2734155549359 94.6513043576964 78.4777777777776 68.022222222221 92.1502329890209 67.7638656342474
"201" "rgt venezio" 85.5126206109953 89.5909928465323 NA NA NA NA NA NA
"200" "arkeos" 79.8743687503591 104.49099419562 92.7046473183432 85.2217758583966 72.8860836362055 71.1093804071854 86.8416619593839 65.2804256005515
"199" "biancor" 83.8126206109953 100.890992846532 88.9906980295734 91.0094500074103 72.0381631684739 62.1007955750808 92.5112553088012 65.7373114608352
"205" "sothys" 74.7361168897229 80.7409941956202 NA NA NA NA NA NA
"206" "farinelli" 67.5361168897229 87.990995544708 87.35382340831 89.64594209892 73.1256402515949 67.4886337166663 83.5193646633036 62.3648448405187
"207" "calabro" 85.1361168897229 82.290995544708 NA NA NA NA NA NA
"208" "sy alteo" 77.9361168897229 88.790995544708 92.0921109325884 91.3738532313363 74.125640251595 63.9886337166662 80.5277000391325 65.6332039124725
"209" "aigle" 84.4361168897229 96.390995544708 NA NA NA NA NA NA
"210" "audace" 64.4361168897229 60.690995544708 NA NA NA NA NA NA
"211" "auckland" 78.3861168897229 84.090995544708 NA NA NA NA NA NA
"212" "arlequin" 87.7361168897229 91.990995544708 86.6313677105207 82.4772581372406 72.848793629129 66.9520490857599 87.5877184823094 71.2321653207226
"218" "mh 09-17" 88.7361168897229 110.490995544708 98.139611154162 89.7042005148428 84.925640251595 63.8886337166663 88.2866950257228 71.9633426251539
"217" "rgt mondio" 86.6861168897229 100.34099419562 NA NA NA NA NA NA
"216" "ascott" 75.8361168897229 97.790995544708 93.551346179193 88.9910586688224 78.9256402515949 71.7886337166664 79.9126531987178 69.6179199785678
"215" "sy moisson" 76.0361168897229 94.290995544708 92.1471558671835 87.8131102995473 78.398793629129 66.5020490857599 88.1970406913153 68.0695632945373
"214" "aligator" 83.0361168897229 73.590995544708 87.0212897230259 86.9018159913818 78.648793629129 66.0520490857599 87.2315296270046 68.6617548160345
"213" "paledor" 86.6361168897229 98.990995544708 86.8026777243156 87.6971052784082 62.725640251595 55.3886337166663 84.7907542831942 66.2878446983744
"219" "sofolk" 69.9361168897229 97.690995544708 NA NA NA NA NA NA
"220" "saint ex" 69.2361168897229 96.990995544708 88.8057849310976 86.2112020750865 76.6196658018244 64.5340069231984 79.7489683540142 64.0772767632475
"221" "arezzo" 78.9361168897229 78.590995544708 99.0285326875619 90.972315559011 79.048793629129 72.0020490857599 85.3788559054031 70.0339906653664
"222" "diamento" 87.8361168897229 96.890995544708 NA NA NA NA NA NA
"228" "amador" 76.0361168897229 98.090995544708 92.194381567518 92.7439139831991 65.5860836362055 66.1093804071854 78.434726931432 69.972631764342
